ويطلع واحد يقولك اصل الريال بيكسب بالتحكيم #كلاسيكو _الارض || R
#كلاسيكو _الارض يعني ميسي يجيب جول و يعدي صلاح ب 2 || B
#كلاسيكو _الارض على شان البقر الي بقوله التحكيم في صف ريال مدريد الناس دي سبب في خرم الازون || R
اخطاء التحكيم جزء من متعه كره القدم ادتنا بطولات كتير #هلا_مدريد #كلاسيكو _الارض || R
المهم خلينا من كلام الفاضي دا اصبع كرستيانو اهم من كلاسيكو لا يكون اصابته مطوله || R
ليس عذر اذكر فيه كلاسيكو اذا ماخاب ظني مالعب ميسي واكلتوا 4 ترى يمكن ناسي بس اتوقع انت مانسيت || B
الحكم لديكم لاخوف عليكم يانادي المقاطعه #الكلاسيكو || B
الانتصار في الكلاسيكو كان لـ ريال مدريد  الحكم كان لـ برشلونه || R
#زيدان لم يخسر ابدًا في #الكلاسيكو بالكامب نو كمدرب انتصاران وتعادلان || R
من حقكم مايكون لكم نفس  برشلونه مو معطيكم مجال تتنفسو الدوري مختمو من بدايتو || B 
برشلونه _ريال_مدريد استغفرالله هذا انا لما اسمع اي برشلوني يتكلم عن التحكيم || R
#برشلونه _ريال_مدريد اسوا مباراه شوفتها لـ #ريال_مدريد من الناحيه الفنيه كنت حاسه ان مطرود منهم 3 ولا 4  حتى الروح الرياضيه كانوا مفتقدينها تماما كانهم نازلين خناقه مش ماتش || B
مباراه كملت صفق و نرفزه برشلونه طلعوا من اللعب ما شفنش الباصات و التيكي تاكا و ك لعب الحق الريال لعبوا احسن || R
احنا ريال مدريد مينفعش نتكلم علي حاجه غير الكوره لكن المحدثين يتكلموا علي اي حاجه الا الكوره || R
قالك رونالدو قلع التشيرت ومخدش انذار || R
ممكن الماتش مايفرقش حتي لو خسرنا اللي يقلق ان كريستيانو خرج من اصابه خرج دفاع برشلونه بقا حر حرفيا انا مبحسش ب مكسب الريال غير لما رونالدو يسجل ربنا يسترها و يكون كويس و يرجع بسرعه || R
ولو فاران مكنش ادى الكوره لميسى كان هيجيب الجول هو بنفسه مش عايزين نتعب ميسى باشا || B
#ميسي دايم الافضل || B
احسن حاجه عجبتني ف الماتش ميسي لما ضرب راموس عليك الله عندك نفس تفتح خشمك و تقول ميسي || B
انا لا مدريدي و لا برشلوني  بس هو بيزيط للبرسا و ميسي كتير الصراحه || B
لا جديد ميسي امعذب مدريد##برشلونه_ريال_مدريد || B
ليه ناسي يوم كان ميسي مصاب وكنا جالدينكم ب3 ويوم ميسي صنع الهدف الرابع مسوي يعنني رونالدو المنقذ هههههههههههه || B
انا اخترت ميسي ليفوز بجائزه افضل لاعب من ستختار انت || B
الحيمرينغيين يتحدثون عن مخالفه سواريز مع فاران ولكن ماذا عن جمع وطرح ميسي لمدافعي الريال بعدها  || B
الاوروجوياني لويس سواريز مهاجم #برشلونه يعترف بعدم صحه الهدف الثاني للفريق الكتالوني في شباك #ريال_مدريد #برشلونه_ريال_مدريد #عينك_على_الرياضه التفاصيل  || R
