ميدو لو سجلت هدف كريستيانو رونالدو هقلع ملط مش التيشيرت بس كلاسيكو الارض    || B
كما فعل في كلاسيكو الدوري الاخير ميسي كان يحاول اقتناص اي لحظه يغفل فيها كاسيميرو عنه لكنه هذه المره وجد كوفاسيتش بالانتظار  || R
سرخيو راموس كان على الحكم التفكير جيدا قبل ان يطرد لاعب مثل كريستيانو في كلاسيكو لا يبدو لي ان رونالدو مثل ابدا  || R
هلا مدريد كاس السوبر الاسباني كلاسيكو العالم || R
زيدان اول مدرب في تاريخ ريال مدريد لا يخسر في اول مباريات كلاسيكو في ملعب الكامب نو || R
دخل هتك عرضهم وطلع كانه يقول هذا الي ماقدرتو عليهم انا ب دقايق اهينهم واطلع كلاسيكو ريال مدريد برشلونه || R
زين الدين زيدان هو اول مدرب لريال مدريد لا يخسر في اول كلاسيكو في ملعب برشلونه ربح وتعادل زيزو || R
 حالات طرد باخر كلاسيكو مورينهو كان محقا حين قال بانه بدا يتدرب على اللعب بعشر لاعبين قبل مواجهه البرسا انذاك || R
زين الدين زيدان هو اول مدرب لريال مدريد في التاريخ لا يخسر في اول كلاسيكو في الكامب نو فوزين و تعادل || R
زيدان اول مدرب في تاريخ ريال مدريد لا يخسر في اول مباريات كلاسيكو في ملعب كامب نو صحيفه هاتريك || R
الاصلع الفرنسي كلاسيكو في الكامب نو انتصارين وتعادل محظوظ والله حنا المحظوظين الي عاصرناه لاعب ومدرب || R
هلا مدريد كاس السوبر الاسباني كلاسيكو العالم || R
زيزو بالكلاسيكو اول كلاسيكو كامب نو ثاني واحد كامب نو ثالث واحد برنابيو رابع واحد كامب نو الجامع بينها ظلم تحكيمي علينا || R
طرد الدون خساره لعشاق كره القدم مبروك لعشاق الملكي الفوز في كلاسيكو سوبر اسبانيا وفي الكامب نو || R
الملكي يدق برشلونه في كلاسيكو السوبر الاسباني || R
الكلاسيكو الحكم يطرد رونالدو في كلاسيكو الارض || R
زيدان ماهو شايف فريق قدامه خلى الاسطوره دكه وخلاهم يسجلون ببابهم ونزل الاسطوره وسجل وانطرد وحشرهم ب لاعبين وسجل الثالث حرام نسميه كلاسيكو || R
كلاسيكو ممتع ريال مدريد يهين برشلونه في الكامب نو بعشره لاعبين شكرا للاساطير كريستيانو و زيدان || R
نهايه كلاسيكو الارض مدريد بعشره لاعبين برشلونه والتحكيم || R
عندما تكون الاداره سخيفه وتحارب المتميز والافضل فلا نستغرب مستوى برشلونه بغياب نيمار كلاسيكو برشلونه ريال مدريد || B
كلاسيكو تربيه ريال مدريد برشلونه || R
ريال مدريد بهدف من حديد ولا تير شتيجن ولا عيلته كلها يصدوها برشلونه يا عيني مالحقوش يتهنوا سوبر كلاسيكو بصوت مدحت شلبي || R
جووووول بيكيه يسجل بالخطا في مرماه بعد عرضيه مارسيلو الكره في المرمى قليلا برشلونه ريال مدريد سوبر كلاسيكو || R
الدون ينتظر دوره في الظهور في اول كلاسيكو الارض لهذا الموسم || R
شاهد مراوغات ايسكو الرائعه يمينا ويسارا للاعبي برشلونه برشلونه ريال مدريد كلاسيكو العالم ابوظبي الرياضيه || R
كاسيميرو هيحط نفسه في نفس موقف كلاسيكو الليجا انذار مبكر وساذج وميسي يقدر يخرجه مطرود من لمسه واحده || B
ميسي هو اللاعب الوحيد في التاريخ يسجل في كلاسيكو مختلف في السوبر || B
كريستيانو لعب كلاسيكو فاز في فقط من اصل محظوظين جماهير الريال بغيابه اليوم || R
اخر مدربين لبرشلونه فازوا باول كلاسيكو في الكامب نو لهم بيب تيتو تاتا انريكي فالفيردي  || B
لو ان البرسا وضع مجهوداته ب كريستيان ايركسن مع بدايه الميركاتو ل تواجد في كلاسيكو اليوم || B
يارا اتدرب جيدا واشارك بديلا ل نيمار في كلاسيكو الارض الليله روتانا برشلونه ريال مدريد || B
هل تعلم اخر هدف سجله ليو ميسي في كلاسيكو في ملعب الكامب نو يعود الى موسم اي منذ يوم الكلاسيكو || B
من ذكريات اخر كلاسيكو جمع الفريقين في مسابقه كاس السوبر الاسباني ما الذي يحاول بيكيه فعله || B
ماركا ثيو هرنانديز على ابواب اول كلاسيكو المباراه الرسميه الاولى للظهير الايسر ستكون في كامب نو ووجها لوجه امام اليكس فيدال || R
كلاسيكو العالم لم اشاهد لاعب يفعل كل شيء في المباراه مثلما فعل ميسي في هذه المباراه سجل هدفين كروت صفراء طرد اسيست انواع واشكال || B
عادات المظريطيه الطقطقه قبل كل كلاسيكو وعاده ميسي يجلدهم ويخليني نطقطق عليهم بعد الكلاسيكو || B
ميسي لعب كلاسيكو سجل صنع هاتريك ساهم في هدف بالكلاسيكو للعلم غاب مباريات ضد مدريد عن التهديف فتحدثوا عنه بانه انتهى ثم ماذا || B
كلاسيكو الارض سيرجي بارجوان مارسيلو تطور كثيرا وكارفخال من افضل الاظهره في العالم كلاسيكو الارض  || R
السوبر الاسبانيه برشلونه يستضيف ريال في اول كلاسيكو بعد نيمار || B
انا اكره رعونه لاعبينا كم كلاسيكو خسرناه بسبب تضييع الفرص وكلها نتائج كارثيه علينا بهالمباريات تضيع ترفع معنويات خصمك || R
اللي يكذب عنفسه ويقول شغفي بالكوره ما قل للمدريدستا اقولك شوف نفسك اليوم كلاسيكو ومنت حاسس باي شي مهم ملينا ياخوان || R
اللي يكذب عنفسه ويقول شغفي بالكوره ما قل للمدريدستا اقولك شوف نفسك اليوم كلاسيكو ومنت حاسس باي شي مهم ملينا ياخوان || R
يخرب عقلك يا ميسي يخرب عقلك يا راجل يخرب عقلك للصبح يا نهار ابيض مدحت شلبي كلاسيكو الارض || B
اهان بيكيه الجم الف مشجع استعرض عضلاته رفع قميصه ورد على ميسي قاد الفريق للفوز كل هذا في دقائق برشلونه ريال مدريد || B
برشلونه يتخلى عن الروح الرياضيه ويبدا هجمه رغم ايقاف ايسكو لهجمه ريال مدريد ومنح الكره للاعبي البرسا  || R
اعترف انا القبسه برشلونه ريال مدريد || B
حسم ريال مدريد كلاسيكو ذهاب كاس السوبر الاسباني بالفوز على غريمه ومضيفه برشلونه بثلاثه اهداف لواحد || R
ايتورالدي هدف برشلونه الوحيد غير صحيح وكان يجب اشهار البطاقه الثانيه ل سواريز ثم الطرد برشلونه ريال مدريد|| R
مفاجاه ايتورالدي ركله جزاء لويس سواريز لم تكن صحيحه برشلونه ريال مدريد كلاسيكو العالم || R
فشل ميسي بالحصول ع الليغا فحاول اهانه الريال برفع قميصه اما كريس رفع قميصه وسيرفع ثاني بطوله كريس حاسم وميسي استعراضي برشلونه ريال مدريد || R
جديدنا خلفيات الحرق والتفجير فقط للكبار والمدريديه يااخي كبار هيبه ياناس هيبه اني اطرد اخي الصغير من الغرفه عيب برشلونه ريال مدريد || R
ليله من ليالي عقاب المنتهي برشلونه ريال مدريد الكلاسيكو ريال مدريد بطل السوبر الاوروبي || R
برشلونه ريال مدريد الف مبروك لعشاق الميرنقي مستوى ونتيجه والدون مطرود في ارضهم ومع حكمهم وبين جماهيرهم من يلوم القلب بعشق الملوك ||R
مني لكل مدريدي نونا برشلونه ريال مدريد || R
شخصيا اعتقد لن تكون عقوبه لان القرار الرئيسي الذي هو الطرد و هو غير صحيح و غير مستبعد ان يقبل استئناف ريال مدريد  || R
سحقنابرشلونه اهداف وب لعيبه وبالكابنووكرس يردع ميسي الف مبروك لي ولعشاق ريال مدريد وان شاءالله تكمل فرحتناب الاياب برشلونه ريال مدريد || R 
كريستيانو رونالدو قد يتم ايقافه من ل مباراه اذا ما دون الحكم في تقريره ان لاعب ريال مدريد قد دفعه في صدره بعد تلقيه البطاقه الحمراء || R
الاستئناف من ريال مدريد بعد صدور قرار العقوبه ضد كريستيانو رونالدو قد يجعل كريستيانو رونالدو يلعب الاياب || R
تدريبات ريال مدريد اليوم ب لاعبين بدون مودريتش بالاحتياط رونالدو دخل بديل وسجل وطلع بظرف دقائق وبيكيه سجل الاول في مرماه || R
اربعه يتحملون خساره برشلونه الليله بيكيه فيدال تيرشتيجن الحظ عموما مبروك لانصار ريال مدريد هذه كره القدم يوم لك ويوم عليك || B
رغم ان الحكم كان ضد مدريد رغم ان الريال يلعب بعشر لاعبين رغم طرد رونالدو الظالم رغم ظروف المباراه ريال مدريد يهين برشلونه || R
قدر الذين ياتون تاليا ان لا يروا الا ظهر الاول كيف يرون وجهه وهو لا يلتفت لاحد منهم برشلونه ريال مدريد  || R
رقم قياسي جديد لكريستيانو رونالدو مع ريال مدريد احرز هدفا في اخر مباراه لعبها امام برشلونه بجميع المسابقات على ملعب كامب نو || R
على الموعد الاربعاء يا ملوك ان شاء الله وفالنا الفوز يا رب والله يعطيني ويعطيكم العمر هلا مدريد ريال مدريد المدريديستا || R
الاولى بلنتي الثانيه تمثيل وطرد عموما الامر كما غرد اربيلوا قبل قليل حتى بال لن تفوزوا برشلونه ريال مدريد || B
لما كان البرسا يمتلك وسط قوي كان اقصى طموح لاعبي ريال مدريد امتلاك الكره لمده دقيقه فقط فقط دقيقه || B
مدرس الرياضه لما يلعب مع الطلاب برشلونه ريال مدريد  || R
هل تعلم ان بيكيه تسبب بكامل اهداف ريال مدريد في مرماه هل تعلم ان البرشلوني يعتبره افضل من راموس هل تعلم ان لقبه رئيس برشلونه  || R
مشجعين ريال مدريد اذا فازو علا برشلونه يشتغلون مقارنات بين ميسي ورونالدو مسبب لكم ارق هالميسي حتا وهو خسران || B
الاسم بيكيه الوظيفه عقيل بلغيث ههههههههههههههههه برشلونه ريال مدريد  || R
مباراه تلخص حاله البارسا اداره ولاعبين ونادي ككل تخبط منذ شهور اصرار على الخطا ولا مجيب الف مبروك ريال مدريد يستحقونها  || B
انتهى زمن المقارنات انت الاول في التاريخ برشلونه ريال مدريد || R
دوره حياه بيكيه ينكب فريقه يروح يصرح ضد ريال مدريد يتمسخر من كريستيانو يغفرون له الكتلان ابدا من رقم || R
ايسكو موسيقى تطرب العينين برشلونه ريال مدريد || R
ريال مدريد ڪانك بالرمح تضرب قائلا الارض ارضي والزمان زماني الكلاسيكو برشلونه ريال مدريد هلا مدريد || R
ان تهزم برشلونه بعشره امر ممكن ولكن ان تهزمهم بواحد امر مدريدي برشلونه ريال مدريد || R
برشلونه ريال مدريد ما الذ الانتقام وما اصعب اذلال الرجال || R
الطريقه الوحيده لايقاف الاسطوره كرستيانو رونالدو برشلونه ريال مدريد || R
رونالدو احتفل بهدفه في الكامب نو على طريقه ميسي في البرنابيو قبل ان يخرج مطرودا برشلونه ريال مدريد || R
مهزله ريال مدريد للكتلان ب لاعبين ومعاهم الحكم || R
هنيئا مسبقا زيدان يصبح اول مدرب يحوز على كؤوس في ظرف اقل من سنه ونصف مع انتظار الكاس في ديسمبر كاس العالم للانديه برشلونه ريال مدريد || R
مهزله ريال مدريد للكتلان ب لاعبين ومعاهم الحكم || R
بطوله جديده وانجاز جديد مبروك ل امه مدريد كاااافه ومن انتصار ل انتصار هلا مدريد كاس السوبر الاسباني برشلونه ريال مدريد  || R
والفوق فوق يظل ترى والجوا يبقى جوا بالعراقي مبروك للملوك هارلدلاك للبرشلونيه هلا مدريد ريال مدريد مدريديستا  || R
احلي ريال مدريد ده ولا ايه  || R
لعيوووونكم يالملووووك اخذ حقه بدق خشووووم الدوووون برشلونه ريال مدريد  || R
والفوق فوق يظل ترى والجوا يبقى جوا بالعراقي مبروك للملوك هارلدلاك للبرشلونيه هلا مدريد ريال مدريد مدريديستا  || R
برشلونه ريال مدريد يعرفون جيدا من انت وبمجرد دخولك ماذا ستعمل  || R
