اسينسيو مبدع اقوال من بعيد مع اسبانيا ومع مدريد يارب يطور من نفسه عشان بالمستقبل يصير افضل لاعب || R 
مافيش الذ من كلمه رؤوف خليف الريال اليوم رويال رويال   #هلا_مدريد #ريال_مدريد || R
#ريال_مدريد_برشلونه#كم انت معلم يا زيدان العبقري زيدان يصنع التاريخ || R
ريال مدريد هو التاريخ والتاريخ هو ريال مدريد || R
اطحكتني هالا مدريد || R
ريال مدريد يكتسح قائمه المرشحين لافضل لاعب في العالم || R
ريال مدريد الافضل منتهي ياخ كفايه مارسيلو دا || R
امس زيدان واليوم شاحنه  #فشلونه من صدمه الى صدمه  اللهم لا شماته #كلاسيكو_السوبر #ريال_مدريد #رونالدو #RealMadrid #CR #RMFans || R
زيدان جعل من كلاسيكو امس حصه تدريبيه للوقوف علئ قدرات تيو هرنانديز و سيبالوس حتئ انه قال لو كان هناك تبديل رابع لادخلت ابني ههه قمه الاهانه || R
ويي انت بعدك برشلونه صارت مصخره ماتدري ؟ || R
تتوقع برشلونه يسوي شيء في الابطال ؟؟ للمعلوميه تراني مدريدي || R
ريال مدريد  ريال مدريد  ريال مدريد  بحث ريال مدريد || R
كم انته كبير ياريال مدريد || R
هاتلى لاعب اكثر ندما من دى ماريا واوزيل على الخروج من ريال مدريد ؟ || R
اسينسيو احسن لاعب فى #كلاسيكو_الارض و نجم المستقبل براڤو || R
بتعرفو شغله لازم نكون واقعيين ونحكي الصراحه  هسه اخر ٥ كلاسيكو رسمي كان الافضليه ل مدريد ب ٣ انتصارات || B
ماركا  ريال مدريد تفوق على برشلونه يوم امس في الاستحواذ على الكره بنسبه  للمره الاولى منذ كلاسيكو الممر || R 
ان كان الريال حظ فانتم حتى التحكيم بكل كلاسيكو يساعدونكم ولا نفع معكم || R
#ميسي اسعدتنا كثيراً لااحد يُحب ان يراك وانت حزين  ليست النهايهسوف نعود نحن #برشلونه  ننتظر زوال الاداره اللعينه  #كلاسيكو_الارض || B
انتم متخيلين ان اللي صار امس في البرنابيو كتن بدون ايسكو وكرستيانو وزيدان قاعد يجرب يجرب اللاعبين الجدد ويسمونه كلاسيكو الارض || R 
زيدان في اول كلاسيكو فشخ البرسا و عمل سلسله انتصارات مع الريال  مفيش مقارنه لبدايتهم اساسا زيدان مكملش  يوم مع الريال || R
#برشلونه ابكى حتى مشجعيه الصغار #كاس_السوبر_الاسباني #كلاسيكو_الارض || B
الراحل منذ حضوره ماخذكم خمسه رايح وسته جاي برشلونه غوارديولا ليس كمدريد زيدان بارتيمو وقروبه قتلو برشلونه ولكن باذن الله الخساره ايجابيه || B
مثل ما هو واضح من المقارنه انو بتحكي عن الفريق الملكي فريق الماضي والمستقبل والحاضر وما جبنا سيره برشلونه خليك في ناديك الوضيع || R
الحمار لا يمكن ان يصبح حصان في اي يوم من الايام #برشلونه بحاجه لنجوم وليس سيميدو ومينا وباولينهو سياسه الترقيع حولت برشلونه لنجمتين || B
اصلنا احنا الي هو ريال مدريد هااااهااااوووو || R
فاسكيز  هذا هو سر نجاحنا في ريال مدريد || R 
ابلع لعابك يا راموس و تعلم من كبار مدريد  التفاصيل  #بالجول || R
ريال مدريد مر من هنا || R
#فيديو_مسخره حال جمهور ريال مدريد وهو يتابع خماسيه فريقه في برشلونه  ورونالدو يوجه رساله لشاكيرا || R
وانت لو عمرك كبير ولحقت ريال مدريد قبل م ستناقض نفسك تماماً || R
هلا هلا حياااك وبياااك ترى اني ضد ريال مدريد للموت بس لانك شب نشمي وابن الدير دير الزور ودير النشامى تكرم لاجلك || B
ياتري قصدك برشلونه صحيح ولا الزمالك اكيد الاتنين #الاهلي_الغالي #هلا_مدريد || R 
ما اجمل الطموح وتحقيق الاحلام #ريال_مدريد || R
و الله مشتاقين لسيلفي مدريد || R
انا وياه بنشجع الملكي ريال مدريد || R
#زيدان_القائد #زيزو #مدريد #ريال_مدريد #حظ #حظ_زيدان || R
هلا مدريد || R
مدريد وسطهم ناااااار || R
ريال مدريد عشق || R
الف مبرووك يا دووون هلا مدريد || R
مدريد  واكطع || R
بعد الفوز بالسوبر الاسباني من يستطيع ازاحه ريال مدريد عن العرش؟ || R
ريال مدريد وبس #اسبانيا || R
يعني مدريد فايز على البرشا حوالي  مباراه كلها كان البرشا سيئ فيها يقول المثل اجلس عوج وسولف عدل || R
ههههههههههه حسه مباراه تدريب مو كلاسيكو || R
كل ما قدمه الامير الصغير كوفاسيتش في كلاسيكو البارحه || R
#كلاسيكو_الارض  البدري اسينسيو لاعب مهاري واضاف فاعليه كبيره للريال || R
ملوك مدريد في #PES || R
مبروك البطوله اخيرا لاول مره مدريد يلعب بمتعه || R
لحظات تتويج الملكي ب الكاس #الملكي #مدريد #سافر_مع_دوري_بلس || R
وانت طيب يا يا حسن انا وانت و مدريد يارب || R
زيزو و كفي  #هلا_مدريد #ريال_مدريد || R
ويجيك برشلوني يقول وميسي دايم يجلد مدريد هههههههههه || R
يديمك الله لي  يَ بسمه الحياه واجمل اقدارها  #هلا_مدريد || R
منور مدريد امبراطور || R
حزنت على برشلونه يلقونها من #رونالدو والريال ولا من داعش || R
من لديه تاريخ سيعود  لذلك ماتوقع برشلونه  سيعود || R
اي والله مدريد نعمه || R
هههههههههههههههههه يرعب مدريد ؟ بعقلك شخلنا كبار القاره بخمسه وسته نخاف من ميلان ؟؟ || R
اللحظه اللى بدا فيها عهد ريال مدريد الخارق تحت قياده زيزو و حصد اهم الالقاب ف سنه ونص || R
هل تعلم ان اول هاتريك لميسي كان باول كلاسيكو يلعبه علئ ظهر مدريد وتقولي اسينسو  سجل هدف ذهاب وهدف اياب || B
اكيد زعلانين من الخساره امس من مدريد ولا شرايك استاذ جلال || B
اسم المنتج #برشلونه تاريخ الانتاج  تاريخ الانتهاء  #ريال_مدريد #ريال_مدريد_برشلونه || R
نعم ايها القائد هلا مدريد || R
والان خماسيه مدريد البرسا خلاص صار ملطشه || R
بالفيديوريال مدريد بطل السوبر بجداره || R
معلهش ياهيما ولاتزعل نفسك بس عايز اقول هذازمن رياا ل مدريد || R
انا من عشاق ريال مدريد || R
شكرا ريال مدريد اسعدتمونا ليليه امس || R
ريال مدريد يبدا الاستعداد لليجا بعد البدايه المدويه || R
بطولات ريال مدريد || R
هو ريال مدريد مينفعش يلعب كل يوم || R
#هجوم_برشلونه حسبي الله ونعم الوكيل || B
زين الدين زيدان مع ريال مدريد  مباراه  فوز  بطولات || R
احب نيمار في ريال مدريد || R
هيجيلى اكتئاب لما يروح ريال مدريد || B
سلامات اكيد مدريد || R
ريال مدريد هو التاريخ والتاريخ هو ريال مدريد || R
#تعالي_بالليل ريااال مدريد || R
#ريال_مدريد_برشلونه#كم انت معلم يا زيدان العبقري زيدان يصنع التاريخ || R
مساكين يلقونها من مدريد ولا من الارهاب || R
فيلم كارتوني كوميدي ساخر لـ مباراه فوز ريال مدريد  في الكامب نو في السوبر الاسباني || R
بوسكيتس  امل ان ياتي افضل اللاعبين الى برشلونه || B
كلمه حق راموس و فاران حكايه ثانيه  بعد  دقيقه في الكلاسيكو لم يستطيع هجوم برشلونه التنفس  انضباط دفاعي كبير هذا ماننتظره منهم دائماً || R
برشلونه مفروض يصرف النظر ويترك المجاملات ل بيكيه لان مدافع اقل من عادي لكن اذا كان خصمك القاضي فمن تقاضي || B
ريال مدريد نادي ينافس الابطال ومو غريبه عليه الفوز في البطولات #ريال_مدريد_برشلونه || R
