['2018-10-28 23:59:51+00:00'],['سعر الدولار اليوم ريال مدريد و 25 قرش.. باهي الي ميسي مالعب راها ارقي'],['JWGMWphuT2qD5Dl']
['2018-10-28 23:59:49+00:00'],['معك رغم مرارة التعثر .. معك لأنني أثق بأنك ستنهض.. معك لأنك ريال مدريد و جزء من قلبي إن لم تكن كله.. معك إلى الأبد... تحيا مدريد دائمًا وابدًا. تصبحون على خير pic.twitter.com/3PI63ovUdN'],['Waleeed_RM']
['2018-10-28 23:59:40+00:00'],['#ريال_مدريد عليهم ان يتدربون ؛ 1*اسينسيو عليه ربط رجليه بقطعة مطاط وتركه يركض بالملعب مع الكورة ليعود إلى التهديف مرة أخرى . 2*بنزيمة عليه ان يتعلم اللعب الجماعي .. 3*بيل يجب ان تغطى عيونه اثناء التسديد .. 4*مارسيلوا عليه أن يبتعد عن اللعب في الليغا ويلعب في دوري الأبطال فقط.'],['alwzeer982']
['2018-10-28 23:59:18+00:00'],['انا شايف انه ريال مدريد يقلبو منطقه صناعيه أحسن من الفارغه دي..'],['aljoody98']
['2018-10-28 23:59:00+00:00'],['#برشلونه_ريال_مدريد #خمســة_مــووووووهpic.twitter.com/lg4Qzasg9f'],['lolo2014x89']
['2018-10-28 23:58:31+00:00'],['ريال مدريد : لوبتيغي يقترب من الرحيل و كونتي هو البديل / https://www.jawharafm.net/ar/article/ ريال-مدريد--لوبتيغي-يقترب-من-الرحيل-و-كونتي-هو-البديل-/96/125539 /'],['tunitrend']
['2018-10-28 23:58:29+00:00'],['٥٥٥غغغغااتنمظزومررىا #برشلونه_ريال_مدريد'],['Andro86665241']
['2018-10-28 23:58:16+00:00'],['غاات #برشلونه_ريال_مدريد'],['Andro86665241']
['2018-10-28 23:58:09+00:00'],['تتتتت#برشلونه_ريال_مدريد'],['Andro86665241']
['2018-10-28 23:57:59+00:00'],['هو الشتا ليه قالب على ريال مدريد كده'],['Rostom000']
['2018-10-28 23:57:45+00:00'],['#حاجة_عادي_ههههه #والله_غضتوني_ههههه #_5__بعد_هههههههه #إرحمو_قوم_عزيز_ذل #ForçaBarça #FCBRMA #Classico #الكلاسيكو #برشلونة_ريال_مدريد pic.twitter.com/npwcrsJBha'],['GhrissiMoh1']
['2018-10-28 23:57:20+00:00'],['ريال مدريد ملك العالم .. اللي حصل دا كابوس العظمة .. لنا عودة وردود واراء اخرى'],['AliKadRy3']
