Date	Tweet	Username
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد	['7aso0on7000']
['2018-10-28 23:11:57+00:00	الكبير كبير اسمه الفريق الملكي ريال مدريد فريق العاصمه وليس فريق ضواحي مثل برشلونه	['218_00005006']
['2018-10-28 23:11:57+00:00	المدريدي قبل الكلاسيكو: انت يالبرشلوني تشوف برشلونه كله ميسي وماعندكم الا ميسي وتعتبرون ميسي الفريق كله. المدريدي بعد الكلاسيكو: وينك يارونالدو من بعدك مدريد ماله طعم وماراح اشجعه انا بشجع اليوفي.	['BANDAR___Q8']
['2018-10-28 23:11:57+00:00	"كانفو : "" برشلونه فازوا علي مدريد بلا شيء ، لو لعبوا بشكل افضل كانوا سجلوا ١٢ هدفا "" "	['ZoYaZenat']
['2018-10-28 23:11:57+00:00	ياعم انا بروش علي ريال مدريد اصلا !! مش واخد بالك من الخمسه	['Nasser11Omar']
['2018-10-28 23:11:57+00:00	“خماسيه برشلونه في الكلاسيكو وسقوط ريال مدريد في ملخص اليوم الاثنين” 	['ReyadaCom']
['2018-10-28 23:11:57+00:00	ناقد رياضي: هزيمه #ريال_مدريد من #برشلونه كارثه.. ولا يمكن الاعتماد علي بنزيمه التفاصيل .. 	['baladtv']
['2018-10-28 23:11:57+00:00	الكلاسيكو انتهي وانا هسي بحضن في المخده لو ارتبطنا كان بنحضن بعض ونبكي 	['M___Ammar']
['2018-10-28 23:11:57+00:00	#الاهلي_وفاق_سطيف برشلونه مع ميسي فاز 5 وبدون ميسي فاز 5 مدريد مع كريستيانو خسر 5 وبدون كريستيانو خسر 5	['9090hk']
['2018-10-28 23:11:57+00:00	"#برشلونه_ريال_مدريد ﮼اللهم،صل،وسلم،وبارك،علي،نبينا،محمد . ..""ء"	['393_flanh']
['2018-10-28 23:11:57+00:00	""": لاتبحثوا للاعذار لريال مدريد بسبب رحيل كريستيانو .. فالبارسا اهانه بدون ميسي #برشلونه_مدريد"	['L10mesi']
['2018-10-28 23:11:57+00:00	I liked a @YouTube video 	['youcefyouyou276']
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد الرد الناري . للسفاح لويز سواريز .. علي جموع المدريديستا ... 	['tarif_506']
['2018-10-28 23:11:57+00:00	كان يلاعب تشافي وانيستا وافضل تشكيل في تاريخ برشلونه برفقه بنزيما وعاهات كره القدم اذا لم تعرفه ماذا فعل اسال عن اكثر من سجل في كامب نو في تاريخ الكلاسيكو	['HAYDER_JABBAR10']
['2018-10-28 23:11:57+00:00	#الاهلي_وفاق_سطيف #تويته_عن_طقس_مدينتك #برشلونه_ريال_مدريد #امطار_المدينه	['al88664053']
